I,,II,,III,,IV,
x,y,x,y,x,y,x,y
10.0,08.04,10.0,09.14,10.0,07.46,08.0,06.58
08.0,06.95,08.0,08.14,08.0,06.77,08.0,05.76
13.0,07.58,13.0,08.74,13.0,12.74,08.0,07.71
09.0,08.81,09.0,08.77,09.0,07.11,08.0,08.84
11.0,08.33,11.0,09.26,11.0,07.81,08.0,08.47
14.0,09.96,14.0,08.10,14.0,08.84,08.0,07.04
06.0,07.24,06.0,06.13,06.0,06.08,08.0,05.25
04.0,04.26,04.0,03.10,04.0,05.39,19.0,12.50
12.0,10.84,12.0,09.13,12.0,08.15,08.0,05.56
07.0,04.82,07.0,07.26,07.0,06.42,08.0,07.91
05.0,05.68,05.0,04.74,05.0,05.73,08.0,06.89
